"Context","Source/Translation"
"CODE","en"
"NAME","English"
"TMCE_NAM","Transfer Manager"
"GROUP_LOCALISATION","Localization"
"dropdownLocalization","Language"
"tabCallAgain","CallAgain"
"tabStatistics","Statistics"
"CallAgainEnabled","Enable Call Again"
"sliderCallAgainUpdateRate","Call Again update rate"
"CallAgainDescriptionThreshold","Threshold: Lower thresholds start calling sooner."
"CallAgainDescriptionRate","Rate: Lower rates produce call backs more often until a response is received."
"GROUP_CALLAGAIN_HEALTHCARE","Health Care"
"CallAgainHealthcareThreshold","Healthcare Threshold"
"CallAgainHealthcareRate","Healthcare Callback Rate"
"GROUP_CALLAGAIN_DEATHCARE","Death Care"
"CallAgainDeathcareThreshold","Deathcare Threshold"
"CallAgainDeathcareRate","Deathcare Callback Rate"
"GROUP_CALLAGAIN_GOODS","Goods Delivery Options"
"CallAgainGoodsThreshold","Goods Threshold"
"CallAgainGoodsRate","Goods Callback Rate"
"GROUP_CALLAGAIN_GARBAGE","Garbage"
"CallAgainGarbageThreshold","Garbage Threshold"
"CallAgainGarbageRate","Garbage Callback Rate"
"GROUP_CALLAGAIN_CARGOSTATION","Cargo Station"
"DespawnReturningCargoTrucks","Automatically despawn returning cargo trucks"
